phase	closure	length	base	width	repeat	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256
subject	build-qwen-cuda-8680bc95e989	531	512	19	4	531	33.543	32	131.338	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	532	512	20	4	532	32.753	32	150.89	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1041	1024	17	4	1041	53.435	32	138.342	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1042	1024	18	4	1042	51.99	32	137.543	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1043	1024	19	4	1043	51.224	32	136.174	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1044	1024	20	4	1044	52.075	32	130.374	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2065	2048	17	4	2065	95.495	32	139.94	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2066	2048	18	4	2066	97.922	32	123.267	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2067	2048	19	4	2067	97.324	32	135.28	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2068	2048	20	4	2068	100.996	32	134.783	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	17	0	17	5	17	12.814	32	133.974	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	18	0	18	5	18	9.934	32	142.489	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	19	0	19	5	19	9.543	32	130.987	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	20	0	20	5	20	9.255	32	145.609	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	529	512	17	5	529	34.7	32	144.018	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	530	512	18	5	530	37.797	32	136.213	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	531	512	19	5	531	34.779	32	126.684	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	532	512	20	5	532	30.753	32	131.567	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1041	1024	17	5	1041	52.378	32	136.671	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1042	1024	18	5	1042	50.436	32	133.223	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1043	1024	19	5	1043	50.854	32	131.869	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
